"group1","group2","group3","group4","group5","group6","temp","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.992e+14,1.1664e+15,2.862e+15,1.9078e+15,1.1386e+15,2.1839e+14,1010.7,1,7.4865,7.4865,94,0
2.9914e+14,1.1662e+15,2.8615e+15,1.9074e+15,1.1383e+15,2.1834e+14,1010.6,1,7.6493,7.6493,94,0
2.9908e+14,1.1659e+15,2.8609e+15,1.907e+15,1.1381e+15,2.183e+14,1010.6,1,7.812,7.812,94,0
2.9902e+14,1.1657e+15,2.8603e+15,1.9066e+15,1.1379e+15,2.1826e+14,1010.6,1,7.9748,7.9748,94,0
2.9896e+14,1.1655e+15,2.8598e+15,1.9063e+15,1.1377e+15,2.1821e+14,1010.6,1,8.1375,8.1375,94,0
2.989e+14,1.1653e+15,2.8592e+15,1.9059e+15,1.1374e+15,2.1817e+14,1010.6,1,8.3003,8.3003,94,0
2.9885e+14,1.165e+15,2.8586e+15,1.9055e+15,1.1372e+15,2.1813e+14,1010.6,1,8.463,8.463,94,0
2.9879e+14,1.1648e+15,2.858e+15,1.9051e+15,1.137e+15,2.1809e+14,1010.5,1,8.6257,8.6257,94,0
2.9873e+14,1.1646e+15,2.8575e+15,1.9047e+15,1.1367e+15,2.1804e+14,1010.5,1,8.7885,8.7885,94,0
2.9867e+14,1.1643e+15,2.8569e+15,1.9044e+15,1.1365e+15,2.18e+14,1010.5,1,8.9513,8.9513,94,0
2.9859e+14,1.164e+15,2.8561e+15,1.9039e+15,1.1362e+15,2.1794e+14,1010.5,1,9.114,9.114,94,0
2.9849e+14,1.1636e+15,2.8552e+15,1.9032e+15,1.1358e+15,2.1787e+14,1010.4,1,9.2767,9.2767,94,0
2.9839e+14,1.1633e+15,2.8543e+15,1.9026e+15,1.1355e+15,2.178e+14,1010.4,1,9.4395,9.4395,94,0
2.983e+14,1.1629e+15,2.8534e+15,1.902e+15,1.1351e+15,2.1773e+14,1010.4,1,9.6023,9.6023,94,0
2.982e+14,1.1625e+15,2.8524e+15,1.9014e+15,1.1347e+15,2.1766e+14,1010.3,1,9.765,9.765,94,0
2.981e+14,1.1621e+15,2.8515e+15,1.9008e+15,1.1344e+15,2.1759e+14,1010.3,1,9.9277,9.9277,94,0
2.9801e+14,1.1617e+15,2.8506e+15,1.9001e+15,1.134e+15,2.1752e+14,1010.3,1,10.09,10.09,94,0
2.9791e+14,1.1614e+15,2.8497e+15,1.8995e+15,1.1336e+15,2.1745e+14,1010.2,1,10.253,10.253,94,0
2.9781e+14,1.161e+15,2.8487e+15,1.8989e+15,1.1333e+15,2.1738e+14,1010.2,1,10.416,10.416,94,0
2.9772e+14,1.1606e+15,2.8478e+15,1.8983e+15,1.1329e+15,2.1731e+14,1010.2,1,10.579,10.579,94,0
2.9762e+14,1.1602e+15,2.8469e+15,1.8977e+15,1.1325e+15,2.1724e+14,1010.2,1,10.741,10.741,94,0
2.9752e+14,1.1599e+15,2.846e+15,1.8971e+15,1.1322e+15,2.1717e+14,1010.1,1,10.904,10.904,94,0
2.9743e+14,1.1595e+15,2.845e+15,1.8964e+15,1.1318e+15,2.171e+14,1010.1,1,11.067,11.067,94,0
2.9733e+14,1.1591e+15,2.8441e+15,1.8958e+15,1.1314e+15,2.1703e+14,1010.1,1,11.23,11.23,94,0
2.9723e+14,1.1587e+15,2.8432e+15,1.8952e+15,1.1311e+15,2.1696e+14,1010,1,11.392,11.392,94,0
2.9714e+14,1.1584e+15,2.8423e+15,1.8946e+15,1.1307e+15,2.1689e+14,1010,1,11.555,11.555,94,0
2.9704e+14,1.158e+15,2.8413e+15,1.894e+15,1.1303e+15,2.1682e+14,1010,1,11.718,11.718,94,0
2.9694e+14,1.1576e+15,2.8404e+15,1.8934e+15,1.13e+15,2.1675e+14,1009.9,1,11.881,11.881,94,0
2.9685e+14,1.1572e+15,2.8395e+15,1.8927e+15,1.1296e+15,2.1668e+14,1009.9,1,12.043,12.043,94,0
2.9675e+14,1.1568e+15,2.8386e+15,1.8921e+15,1.1292e+15,2.1661e+14,1009.9,1,12.206,12.206,94,0
2.9665e+14,1.1565e+15,2.8376e+15,1.8915e+15,1.1289e+15,2.1654e+14,1009.8,1,12.369,12.369,94,0
2.9656e+14,1.1561e+15,2.8367e+15,1.8909e+15,1.1285e+15,2.1647e+14,1009.8,1,12.532,12.532,94,0
2.9646e+14,1.1557e+15,2.8358e+15,1.8903e+15,1.1281e+15,2.164e+14,1009.8,1,12.694,12.694,94,0
2.9636e+14,1.1553e+15,2.8349e+15,1.8897e+15,1.1278e+15,2.1633e+14,1009.8,1,12.857,12.857,94,0
2.9627e+14,1.155e+15,2.8339e+15,1.889e+15,1.1274e+15,2.1626e+14,1009.7,1,13.02,13.02,94,0
2.9617e+14,1.1546e+15,2.833e+15,1.8884e+15,1.127e+15,2.1619e+14,1009.7,1,13.183,13.183,94,0
2.9607e+14,1.1542e+15,2.8321e+15,1.8878e+15,1.1266e+15,2.1612e+14,1009.7,1,13.345,13.345,94,0
2.9598e+14,1.1538e+15,2.8312e+15,1.8872e+15,1.1263e+15,2.1605e+14,1009.6,1,13.508,13.508,94,0
2.9585e+14,1.1533e+15,2.8299e+15,1.8864e+15,1.1258e+15,2.1596e+14,1009.6,1,13.671,13.671,94,0
2.9571e+14,1.1528e+15,2.8287e+15,1.8855e+15,1.1253e+15,2.1586e+14,1009.5,1,13.834,13.834,94,0
2.9558e+14,1.1523e+15,2.8274e+15,1.8847e+15,1.1248e+15,2.1577e+14,1009.5,1,13.997,13.997,94,0
2.9544e+14,1.1518e+15,2.8261e+15,1.8838e+15,1.1243e+15,2.1567e+14,1009.5,1,14.159,14.159,94,0
2.9531e+14,1.1512e+15,2.8248e+15,1.883e+15,1.1238e+15,2.1557e+14,1009.4,1,14.322,14.322,94,0
2.9518e+14,1.1507e+15,2.8235e+15,1.8821e+15,1.1232e+15,2.1548e+14,1009.4,1,14.485,14.485,94,0
2.9504e+14,1.1502e+15,2.8222e+15,1.8812e+15,1.1227e+15,2.1538e+14,1009.3,1,14.648,14.648,94,0
2.9491e+14,1.1497e+15,2.821e+15,1.8804e+15,1.1222e+15,2.1528e+14,1009.3,1,14.81,14.81,94,0
2.9478e+14,1.1492e+15,2.8197e+15,1.8795e+15,1.1217e+15,2.1518e+14,1009.2,1,14.973,14.973,94,0
2.9464e+14,1.1486e+15,2.8184e+15,1.8787e+15,1.1212e+15,2.1509e+14,1009.2,1,15.136,15.136,94,0
2.9451e+14,1.1481e+15,2.8171e+15,1.8778e+15,1.1207e+15,2.1499e+14,1009.2,1,15.299,15.299,94,0
2.9437e+14,1.1476e+15,2.8158e+15,1.877e+15,1.1202e+15,2.1489e+14,1009.1,1,15.461,15.461,94,0
2.9424e+14,1.1471e+15,2.8146e+15,1.8761e+15,1.1197e+15,2.148e+14,1009.1,1,15.624,15.624,94,0
2.9411e+14,1.1466e+15,2.8133e+15,1.8753e+15,1.1192e+15,2.147e+14,1009,1,15.787,15.787,94,0
2.9397e+14,1.146e+15,2.812e+15,1.8744e+15,1.1187e+15,2.146e+14,1009,1,15.95,15.95,94,0
2.9384e+14,1.1455e+15,2.8107e+15,1.8736e+15,1.1182e+15,2.1451e+14,1008.9,1,16.112,16.112,94,0
2.937e+14,1.145e+15,2.8094e+15,1.8727e+15,1.1176e+15,2.1441e+14,1008.9,1,16.275,16.275,94,0
2.9357e+14,1.1445e+15,2.8082e+15,1.8719e+15,1.1171e+15,2.1431e+14,1008.9,1,16.438,16.438,94,0
2.9344e+14,1.1439e+15,2.8069e+15,1.871e+15,1.1166e+15,2.1422e+14,1008.8,1,16.601,16.601,94,0
2.933e+14,1.1434e+15,2.8056e+15,1.8701e+15,1.1161e+15,2.1412e+14,1008.8,1,16.763,16.763,94,0
2.9317e+14,1.1429e+15,2.8043e+15,1.8693e+15,1.1156e+15,2.1402e+14,1008.7,1,16.926,16.926,94,0
