"group1","group2","group3","group4","group5","group6","temp","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0761e+14,1.2112e+15,2.9767e+15,2.019e+15,1.2578e+15,2.9117e+14,1062.6,1,7.4865,7.4865,94,0
3.0755e+14,1.211e+15,2.9761e+15,2.0186e+15,1.2575e+15,2.9111e+14,1062.6,1,7.6493,7.6493,94,0
3.0749e+14,1.2108e+15,2.9755e+15,2.0182e+15,1.2573e+15,2.9105e+14,1062.5,1,7.812,7.812,94,0
3.0743e+14,1.2105e+15,2.9749e+15,2.0178e+15,1.257e+15,2.91e+14,1062.5,1,7.9748,7.9748,94,0
3.0737e+14,1.2103e+15,2.9744e+15,2.0174e+15,1.2568e+15,2.9094e+14,1062.5,1,8.1375,8.1375,94,0
3.0731e+14,1.21e+15,2.9738e+15,2.017e+15,1.2565e+15,2.9088e+14,1062.5,1,8.3003,8.3003,94,0
3.0725e+14,1.2098e+15,2.9732e+15,2.0166e+15,1.2563e+15,2.9083e+14,1062.5,1,8.463,8.463,94,0
3.0719e+14,1.2096e+15,2.9726e+15,2.0162e+15,1.256e+15,2.9077e+14,1062.4,1,8.6257,8.6257,94,0
3.0713e+14,1.2093e+15,2.972e+15,2.0158e+15,1.2558e+15,2.9071e+14,1062.4,1,8.7885,8.7885,94,0
3.0707e+14,1.2091e+15,2.9714e+15,2.0154e+15,1.2555e+15,2.9066e+14,1062.4,1,8.9513,8.9513,94,0
3.0698e+14,1.2088e+15,2.9706e+15,2.0149e+15,1.2552e+15,2.9058e+14,1062.4,1,9.114,9.114,94,0
3.0689e+14,1.2084e+15,2.9697e+15,2.0142e+15,1.2548e+15,2.9049e+14,1062.3,1,9.2767,9.2767,94,0
3.0679e+14,1.208e+15,2.9687e+15,2.0136e+15,1.2544e+15,2.9039e+14,1062.3,1,9.4395,9.4395,94,0
3.0669e+14,1.2076e+15,2.9678e+15,2.013e+15,1.254e+15,2.903e+14,1062.3,1,9.6023,9.6023,94,0
3.0659e+14,1.2072e+15,2.9668e+15,2.0123e+15,1.2536e+15,2.9021e+14,1062.2,1,9.765,9.765,94,0
3.0649e+14,1.2068e+15,2.9659e+15,2.0117e+15,1.2532e+15,2.9012e+14,1062.2,1,9.9277,9.9277,94,0
3.0639e+14,1.2064e+15,2.9649e+15,2.011e+15,1.2528e+15,2.9003e+14,1062.2,1,10.09,10.09,94,0
3.063e+14,1.2061e+15,2.964e+15,2.0104e+15,1.2524e+15,2.8993e+14,1062.1,1,10.253,10.253,94,0
3.062e+14,1.2057e+15,2.963e+15,2.0097e+15,1.252e+15,2.8984e+14,1062.1,1,10.416,10.416,94,0
3.061e+14,1.2053e+15,2.9621e+15,2.0091e+15,1.2516e+15,2.8975e+14,1062.1,1,10.579,10.579,94,0
3.06e+14,1.2049e+15,2.9611e+15,2.0084e+15,1.2512e+15,2.8966e+14,1062,1,10.741,10.741,94,0
3.059e+14,1.2045e+15,2.9602e+15,2.0078e+15,1.2508e+15,2.8957e+14,1062,1,10.904,10.904,94,0
3.0581e+14,1.2041e+15,2.9592e+15,2.0071e+15,1.2504e+15,2.8947e+14,1062,1,11.067,11.067,94,0
3.0571e+14,1.2037e+15,2.9583e+15,2.0065e+15,1.25e+15,2.8938e+14,1061.9,1,11.23,11.23,94,0
3.0561e+14,1.2033e+15,2.9573e+15,2.0058e+15,1.2496e+15,2.8929e+14,1061.9,1,11.392,11.392,94,0
3.0551e+14,1.203e+15,2.9564e+15,2.0052e+15,1.2492e+15,2.892e+14,1061.9,1,11.555,11.555,94,0
3.0541e+14,1.2026e+15,2.9554e+15,2.0046e+15,1.2488e+15,2.891e+14,1061.9,1,11.718,11.718,94,0
