"group1","group2","group3","group4","group5","group6","temp","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0133e+14,1.1863e+15,2.9126e+15,1.9726e+15,1.2222e+15,2.7737e+14,1019.6,1,7.4865,7.4865,94,0
3.0127e+14,1.1861e+15,2.912e+15,1.9722e+15,1.222e+15,2.7732e+14,1019.5,1,7.6493,7.6493,94,0
3.0121e+14,1.1858e+15,2.9114e+15,1.9718e+15,1.2217e+15,2.7726e+14,1019.5,1,7.812,7.812,94,0
3.0115e+14,1.1856e+15,2.9108e+15,1.9714e+15,1.2215e+15,2.7721e+14,1019.5,1,7.9748,7.9748,94,0
3.0109e+14,1.1854e+15,2.9103e+15,1.971e+15,1.2212e+15,2.7715e+14,1019.5,1,8.1375,8.1375,94,0
3.0103e+14,1.1851e+15,2.9097e+15,1.9706e+15,1.221e+15,2.771e+14,1019.5,1,8.3003,8.3003,94,0
3.0097e+14,1.1849e+15,2.9091e+15,1.9702e+15,1.2208e+15,2.7705e+14,1019.4,1,8.463,8.463,94,0
3.0091e+14,1.1847e+15,2.9085e+15,1.9699e+15,1.2205e+15,2.7699e+14,1019.4,1,8.6257,8.6257,94,0
3.0085e+14,1.1844e+15,2.908e+15,1.9695e+15,1.2203e+15,2.7694e+14,1019.4,1,8.7885,8.7885,94,0
3.0079e+14,1.1842e+15,2.9074e+15,1.9691e+15,1.22e+15,2.7688e+14,1019.4,1,8.9513,8.9513,94,0
3.0071e+14,1.1839e+15,2.9066e+15,1.9685e+15,1.2197e+15,2.7681e+14,1019.4,1,9.114,9.114,94,0
3.0062e+14,1.1835e+15,2.9057e+15,1.9679e+15,1.2193e+15,2.7672e+14,1019.3,1,9.2767,9.2767,94,0
3.0052e+14,1.1831e+15,2.9047e+15,1.9673e+15,1.2189e+15,2.7663e+14,1019.3,1,9.4395,9.4395,94,0
3.0042e+14,1.1827e+15,2.9038e+15,1.9666e+15,1.2185e+15,2.7655e+14,1019.3,1,9.6023,9.6023,94,0
3.0033e+14,1.1824e+15,2.9029e+15,1.966e+15,1.2181e+15,2.7646e+14,1019.2,1,9.765,9.765,94,0
3.0023e+14,1.182e+15,2.9019e+15,1.9654e+15,1.2178e+15,2.7637e+14,1019.2,1,9.9277,9.9277,94,0
3.0013e+14,1.1816e+15,2.901e+15,1.9647e+15,1.2174e+15,2.7628e+14,1019.2,1,10.09,10.09,94,0
3.0004e+14,1.1812e+15,2.9001e+15,1.9641e+15,1.217e+15,2.7619e+14,1019.1,1,10.253,10.253,94,0
2.9994e+14,1.1808e+15,2.8991e+15,1.9635e+15,1.2166e+15,2.7611e+14,1019.1,1,10.416,10.416,94,0
2.9984e+14,1.1805e+15,2.8982e+15,1.9628e+15,1.2162e+15,2.7602e+14,1019.1,1,10.579,10.579,94,0
2.9975e+14,1.1801e+15,2.8973e+15,1.9622e+15,1.2158e+15,2.7593e+14,1019,1,10.741,10.741,94,0
2.9965e+14,1.1797e+15,2.8963e+15,1.9616e+15,1.2154e+15,2.7584e+14,1019,1,10.904,10.904,94,0
2.9955e+14,1.1793e+15,2.8954e+15,1.9609e+15,1.215e+15,2.7576e+14,1019,1,11.067,11.067,94,0
2.9946e+14,1.1789e+15,2.8945e+15,1.9603e+15,1.2146e+15,2.7567e+14,1019,1,11.23,11.23,94,0
2.9936e+14,1.1786e+15,2.8935e+15,1.9597e+15,1.2142e+15,2.7558e+14,1018.9,1,11.392,11.392,94,0
2.9926e+14,1.1782e+15,2.8926e+15,1.959e+15,1.2138e+15,2.7549e+14,1018.9,1,11.555,11.555,94,0
2.9917e+14,1.1778e+15,2.8917e+15,1.9584e+15,1.2134e+15,2.754e+14,1018.9,1,11.718,11.718,94,0
2.9907e+14,1.1774e+15,2.8907e+15,1.9578e+15,1.213e+15,2.7532e+14,1018.8,1,11.881,11.881,94,0
2.9897e+14,1.177e+15,2.8898e+15,1.9571e+15,1.2127e+15,2.7523e+14,1018.8,1,12.043,12.043,94,0
2.9888e+14,1.1767e+15,2.8889e+15,1.9565e+15,1.2123e+15,2.7514e+14,1018.8,1,12.206,12.206,94,0
2.9878e+14,1.1763e+15,2.8879e+15,1.9559e+15,1.2119e+15,2.7505e+14,1018.7,1,12.369,12.369,94,0
2.9869e+14,1.1759e+15,2.887e+15,1.9552e+15,1.2115e+15,2.7496e+14,1018.7,1,12.532,12.532,94,0
2.9859e+14,1.1755e+15,2.886e+15,1.9546e+15,1.2111e+15,2.7488e+14,1018.7,1,12.694,12.694,94,0
2.9849e+14,1.1751e+15,2.8851e+15,1.954e+15,1.2107e+15,2.7479e+14,1018.6,1,12.857,12.857,94,0
2.984e+14,1.1748e+15,2.8842e+15,1.9533e+15,1.2103e+15,2.747e+14,1018.6,1,13.02,13.02,94,0
2.983e+14,1.1744e+15,2.8832e+15,1.9527e+15,1.2099e+15,2.7461e+14,1018.6,1,13.183,13.183,94,0
2.982e+14,1.174e+15,2.8823e+15,1.9521e+15,1.2095e+15,2.7453e+14,1018.5,1,13.345,13.345,94,0
2.9811e+14,1.1736e+15,2.8814e+15,1.9514e+15,1.2091e+15,2.7444e+14,1018.5,1,13.508,13.508,94,0
2.9798e+14,1.1731e+15,2.8801e+15,1.9506e+15,1.2086e+15,2.7432e+14,1018.5,1,13.671,13.671,94,0
2.9784e+14,1.1726e+15,2.8788e+15,1.9497e+15,1.2081e+15,2.742e+14,1018.4,1,13.834,13.834,94,0
2.9771e+14,1.1721e+15,2.8775e+15,1.9488e+15,1.2075e+15,2.7408e+14,1018.4,1,13.997,13.997,94,0
2.9758e+14,1.1715e+15,2.8762e+15,1.948e+15,1.207e+15,2.7396e+14,1018.3,1,14.159,14.159,94,0
2.9744e+14,1.171e+15,2.875e+15,1.9471e+15,1.2064e+15,2.7383e+14,1018.3,1,14.322,14.322,94,0
2.9731e+14,1.1705e+15,2.8737e+15,1.9462e+15,1.2059e+15,2.7371e+14,1018.3,1,14.485,14.485,94,0
2.9718e+14,1.17e+15,2.8724e+15,1.9453e+15,1.2053e+15,2.7359e+14,1018.2,1,14.648,14.648,94,0
2.9704e+14,1.1694e+15,2.8711e+15,1.9445e+15,1.2048e+15,2.7347e+14,1018.2,1,14.81,14.81,94,0
2.9691e+14,1.1689e+15,2.8698e+15,1.9436e+15,1.2043e+15,2.7335e+14,1018.1,1,14.973,14.973,94,0
2.9677e+14,1.1684e+15,2.8685e+15,1.9427e+15,1.2037e+15,2.7323e+14,1018.1,1,15.136,15.136,94,0
2.9664e+14,1.1679e+15,2.8672e+15,1.9418e+15,1.2032e+15,2.731e+14,1018,1,15.299,15.299,94,0
2.9651e+14,1.1673e+15,2.8659e+15,1.941e+15,1.2026e+15,2.7298e+14,1018,1,15.461,15.461,94,0
2.9637e+14,1.1668e+15,2.8646e+15,1.9401e+15,1.2021e+15,2.7286e+14,1018,1,15.624,15.624,94,0
2.9624e+14,1.1663e+15,2.8633e+15,1.9392e+15,1.2015e+15,2.7274e+14,1017.9,1,15.787,15.787,94,0
2.9611e+14,1.1658e+15,2.862e+15,1.9383e+15,1.201e+15,2.7262e+14,1017.9,1,15.95,15.95,94,0
2.9597e+14,1.1652e+15,2.8607e+15,1.9374e+15,1.2005e+15,2.725e+14,1017.8,1,16.112,16.112,94,0
2.9584e+14,1.1647e+15,2.8594e+15,1.9366e+15,1.1999e+15,2.7237e+14,1017.8,1,16.275,16.275,94,0
2.9571e+14,1.1642e+15,2.8581e+15,1.9357e+15,1.1994e+15,2.7225e+14,1017.7,1,16.438,16.438,94,0
2.9557e+14,1.1636e+15,2.8568e+15,1.9348e+15,1.1988e+15,2.7213e+14,1017.7,1,16.601,16.601,94,0
2.9544e+14,1.1631e+15,2.8555e+15,1.9339e+15,1.1983e+15,2.7201e+14,1017.7,1,16.763,16.763,94,0
2.953e+14,1.1626e+15,2.8543e+15,1.9331e+15,1.1977e+15,2.7189e+14,1017.6,1,16.926,16.926,94,0
2.9517e+14,1.1621e+15,2.853e+15,1.9322e+15,1.1972e+15,2.7176e+14,1017.6,1,17.089,17.089,94,0
2.9504e+14,1.1615e+15,2.8517e+15,1.9313e+15,1.1967e+15,2.7164e+14,1017.5,1,17.251,17.251,94,0
2.949e+14,1.161e+15,2.8504e+15,1.9304e+15,1.1961e+15,2.7152e+14,1017.5,1,17.414,17.414,94,0
2.9477e+14,1.1605e+15,2.8491e+15,1.9296e+15,1.1956e+15,2.714e+14,1017.4,1,17.577,17.577,94,0
2.9464e+14,1.16e+15,2.8478e+15,1.9287e+15,1.195e+15,2.7128e+14,1017.4,1,17.74,17.74,94,0
2.945e+14,1.1594e+15,2.8465e+15,1.9278e+15,1.1945e+15,2.7116e+14,1017.4,1,17.903,17.903,94,0
2.9436e+14,1.1589e+15,2.8451e+15,1.9269e+15,1.1939e+15,2.7103e+14,1017.3,1,18.065,18.065,94,0
2.9419e+14,1.1582e+15,2.8435e+15,1.9258e+15,1.1932e+15,2.7087e+14,1017.3,1,18.228,18.228,94,0
2.9402e+14,1.1575e+15,2.8418e+15,1.9246e+15,1.1925e+15,2.7072e+14,1017.2,1,18.391,18.391,94,0
2.9385e+14,1.1569e+15,2.8402e+15,1.9235e+15,1.1918e+15,2.7056e+14,1017.1,1,18.553,18.553,94,0
2.9368e+14,1.1562e+15,2.8385e+15,1.9224e+15,1.1912e+15,2.7041e+14,1017.1,1,18.716,18.716,94,0
2.9351e+14,1.1555e+15,2.8369e+15,1.9213e+15,1.1905e+15,2.7025e+14,1017,1,18.879,18.879,94,0
2.9334e+14,1.1549e+15,2.8352e+15,1.9202e+15,1.1898e+15,2.701e+14,1017,1,19.042,19.042,94,0
2.9317e+14,1.1542e+15,2.8336e+15,1.9191e+15,1.1891e+15,2.6994e+14,1016.9,1,19.205,19.205,94,0
2.93e+14,1.1535e+15,2.8319e+15,1.9179e+15,1.1884e+15,2.6979e+14,1016.9,1,19.367,19.367,94,0
2.9283e+14,1.1529e+15,2.8303e+15,1.9168e+15,1.1877e+15,2.6963e+14,1016.8,1,19.53,19.53,94,0
2.9266e+14,1.1522e+15,2.8286e+15,1.9157e+15,1.187e+15,2.6948e+14,1016.8,1,19.693,19.693,94,0
2.9249e+14,1.1515e+15,2.827e+15,1.9146e+15,1.1863e+15,2.6932e+14,1016.7,1,19.855,19.855,94,0
2.9232e+14,1.1508e+15,2.8254e+15,1.9135e+15,1.1856e+15,2.6917e+14,1016.7,1,20.018,20.018,94,0
2.9215e+14,1.1502e+15,2.8237e+15,1.9124e+15,1.1849e+15,2.6901e+14,1016.6,1,20.181,20.181,94,0
2.9198e+14,1.1495e+15,2.8221e+15,1.9112e+15,1.1842e+15,2.6886e+14,1016.5,1,20.344,20.344,94,0
2.9181e+14,1.1488e+15,2.8204e+15,1.9101e+15,1.1835e+15,2.687e+14,1016.5,1,20.507,20.507,94,0
2.9164e+14,1.1482e+15,2.8188e+15,1.909e+15,1.1829e+15,2.6855e+14,1016.4,1,20.669,20.669,94,0
2.9147e+14,1.1475e+15,2.8171e+15,1.9079e+15,1.1822e+15,2.6839e+14,1016.4,1,20.832,20.832,94,0
2.913e+14,1.1468e+15,2.8155e+15,1.9068e+15,1.1815e+15,2.6824e+14,1016.3,1,20.995,20.995,94,0
2.9113e+14,1.1462e+15,2.8138e+15,1.9056e+15,1.1808e+15,2.6808e+14,1016.3,1,21.157,21.157,94,0
