time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,inlet_mean_temp,max_temp_fuel,temp_blanket,temp_fuel
2.5958682112e-05,8.0221277216659e+20,3.137628167509e+21,7.8161475721314e+21,5.3690008185617e+21,3.3670969080664e+21,8.1392451308434e+20,1980412724.2478,916.85156551742,1104.5537571167,924.88913882604,967.03507304972
3.21504185344e-05,8.0222530180048e+20,3.1376771615291e+21,7.8162695926726e+21,5.3690846510878e+21,3.3671495024691e+21,8.139371034912e+20,1980443653.8734,916.85156550642,1104.553757118,924.88913891873,967.03507306495
3.958050224128e-05,8.0224026665977e+20,3.1377356776872e+21,7.8164153287098e+21,5.3691847793764e+21,3.3672123253186e+21,8.1395223025519e+20,1980480596.5011,916.85156549322,1104.5537571205,924.88913902998,967.03507308975
4.8496602689536e-05,8.0225812239587e+20,3.1378054977393e+21,7.8165892175707e+21,5.3693042513626e+21,3.3672872874078e+21,8.1397033792914e+20,1980524676.6164,916.85156547738,1104.5537571249,924.88913916351,967.03507312883
5.9195923227443e-05,8.0227940298499e+20,3.1378887096932e+21,7.8167964594181e+21,5.369446639435e+21,3.367376629309e+21,8.1399195347891e+20,1980577212.1614,916.85156545837,1104.5537571323,924.88913932381,967.03507318907
7.2035107872932e-05,8.0230473067916e+20,3.1379877467212e+21,7.8170431141152e+21,5.3696161068717e+21,3.3674829628119e+21,8.1401769810581e+20,1980639739.1081,916.85156543556,1104.5537571441,924.88913951624,967.03507328041
8.7442129447518e-05,8.0233482581758e+20,3.1381054255288e+21,7.8173361967538e+21,5.3698174733824e+21,3.3676093118557e+21,8.1404829718576e+20,1980714035.6628,916.85156540819,1104.5537571625,924.88913974726,967.03507341718
0.00010593055533702,8.0237051560788e+20,3.1382449806956e+21,7.8176837631668e+21,5.370056273803e+21,3.3677591492332e+21,8.140845881293e+20,1980802143.9182,916.85156537534,1104.5537571905,924.88914002464,967.03507361997
0.00012811666640443,8.024127405258e+20,3.138410089703e+21,7.8180949722577e+21,5.3703388008876e+21,3.3679364233718e+21,8.1412752560001e+20,1980906385.6286,916.85156533592,1104.5537572325,924.88914035771,967.0350739182
0.00015473999968531,8.0246255638597e+20,3.1386048810344e+21,7.8185801061752e+21,5.3706721191545e+21,3.3681455669886e+21,8.1417818261476e+20,1981029367.3054,916.85156528862,1104.5537572949,924.8891407577,967.03507435379
0.00018668799962237,8.0252112937474e+20,3.1388339147544e+21,7.8191505219498e+21,5.3710640316536e+21,3.3683914762269e+21,8.1423774489739e+20,1981173967.9461,916.85156523186,1104.5537573867,924.88914123812,967.03507498613
0.00022502559954685,8.0258972040218e+20,3.1391021213236e+21,7.819818499117e+21,5.3715229752754e+21,3.3686794449664e+21,8.1430749468838e+20,1981343300.3997,916.85156516375,1104.5537575206,924.88914181523,967.035075899
0.00027103071945622,8.0266965406627e+20,3.1394146802436e+21,7.8205969374867e+21,5.3720578131053e+21,3.3690150345418e+21,8.1438877908495e+20,1981540634.7472,916.85156508201,1104.5537577146,924.88914250861,967.0350772099
0.00032623686334746,8.0276226644917e+20,3.1397768159312e+21,7.8214988487725e+21,5.3726774851495e+21,3.3694038545987e+21,8.144829569359e+20,1981769269.4248,916.85156498394,1104.5537579939,924.88914334185,967.03507908254
0.00039248423601695,8.0286882513158e+20,3.1401934849595e+21,7.822536577671e+21,5.3733904731778e+21,3.3698512273199e+21,8.1459131751643e+20,1982032333.7619,916.85156486624,1104.5537583931,924.88914434335,967.0350817433
0.00047198108322034,8.0299041465179e+20,3.140668928181e+21,7.8237206864265e+21,5.374204034363e+21,3.3703617065849e+21,8.1471496407665e+20,1982332505.2102,916.85156472501,1104.5537589604,924.88914554739,967.03508550253
0.00056737729986441,8.0312778183559e+20,3.1412060659366e+21,7.8250584486028e+21,5.375123166422e+21,3.3709384286614e+21,8.1485465658988e+20,1982671627.504,916.85156455554,1104.5537597609,924.88914699526,967.0350907814
0.0006818527598373,8.0328113894169e+20,3.1418057283152e+21,7.8265519320423e+21,5.3761492905052e+21,3.3715822857974e+21,8.1501061160816e+20,1983050224.6762,916.85156435218,1104.5537608827,924.88914873674,967.03509814461
