time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,inlet_mean_temp,max_temp_fuel,temp_blanket,temp_fuel
0.0011818815689988,8.2972553423865e+20,3.2774133914209e+21,8.1746919379806e+21,5.7095449850272e+21,3.7244146895168e+21,1.0417469341698e+21,2015950447.5016,964.73280683887,1160.1290983547,925.02261792775,1015.3839127641
0.0014192578827986,8.2971065613801e+20,3.2773546359574e+21,8.1745454177112e+21,5.7094426304466e+21,3.7243478933404e+21,1.0417282199447e+21,2015914298.1558,964.73280627143,1160.1290978374,925.02262166559,1015.3839107101
0.0017041094593583,8.2969512316041e+20,3.2772932942039e+21,8.1743924475625e+21,5.7093357698476e+21,3.7242781560744e+21,1.0417086812016e+21,2015876557.6497,964.73280559038,1160.1290971751,925.02262614997,1015.3839079874
0.00204593135123,8.2967936356868e+20,3.2772310573864e+21,8.1742372448556e+21,5.7092273491969e+21,3.7242074000599e+21,1.0416888563171e+21,2015838266.5514,964.73280477294,1160.1290963287,925.02263152997,1015.3839044062
0.002456117621476,8.2966392716428e+20,3.2771700966981e+21,8.1740852238016e+21,5.7091211505572e+21,3.7241380932453e+21,1.0416694364984e+21,2015800760.7475,964.73280379177,1160.1290952507,925.02263798448,1015.3838997396
0.0029483411457712,8.2964946038481e+20,3.277112964959e+21,8.1739427502779e+21,5.7090216207889e+21,3.7240731374092e+21,1.0416512344761e+21,2015765610.9444,964.73280261401,1160.1290938842,925.02264572824,1015.3838937245
0.0035390093749255,8.2963665588229e+20,3.2770623974987e+21,8.1738166452957e+21,5.7089335247015e+21,3.7240156418253e+21,1.0416351211079e+21,2015734500.1654,964.7328012002,1160.1290921623,925.02265501897,1015.3838860652
0.0042478112499105,8.2962617796209e+20,3.2770210177097e+21,8.1737134507478e+21,5.7088614321411e+21,3.7239685885582e+21,1.0416219316245e+21,2015709042.5942,964.73279950289,1160.1290900075,925.02266616611,1015.3838764409
0.0050983734998927,8.2961857412801e+20,3.2769909877323e+21,8.1736385583251e+21,5.7088091094921e+21,3.7239344353788e+21,1.0416123543978e+21,2015690568.6569,964.7327974651,1160.1290873303,925.02267954116,1015.3838645143
0.0061190481998712,8.2961419253625e+20,3.2769736824726e+21,8.1735953966158e+21,5.7087789518177e+21,3.723914745194e+21,1.0416068271307e+21,2015679924.4545,964.73279501827,1160.1290840279,925.02269559017,1015.3838499409
0.0073438578398454,8.29613130534e+20,3.2769694863742e+21,8.17358492431e+21,5.7087716288284e+21,3.7239099550074e+21,1.0416054721279e+21,2015677346.7174,964.73279207996,1160.1290799809,925.02271484867,1015.3838323759
0.0088136294078145,8.2961523511195e+20,3.2769777952029e+21,8.1736056346415e+21,5.7087860879758e+21,3.7239193779277e+21,1.0416080968469e+21,2015682463.8915,964.73278855096,1160.1290750482,925.02273795959,1015.3838114766
0.010577355289377,8.2962015986799e+20,3.276997240999e+21,8.1736541163479e+21,5.7088199463111e+21,3.7239414588769e+21,1.0416142655196e+21,2015694434.5333,964.73278431182,1160.12906906,925.02276569471,1015.3837869016
0.012693826347253,8.2962746020389e+20,3.2770260680193e+21,8.1737259911615e+21,5.7088701453813e+21,3.7239742019617e+21,1.0416234188723e+21,2015712178.6087,964.73277921862,1160.129061808,925.02279898045,1015.3837583094
0.015233591616703,8.2963669122809e+20,3.2770625193697e+21,8.1738168779742e+21,5.708933624771e+21,3.7240156100295e+21,1.0416349972717e+21,2015734615.3759,964.7327730978,1160.1290530339,925.02283892879,1015.3837253616
0.018281309940044,8.2964747306062e+20,3.2771050949089e+21,8.1739230360033e+21,5.7090077714182e+21,3.724063977913e+21,1.0416485228964e+21,2015760822.0725,964.73276573988,1160.1290424158,925.02288687446,1015.3836877348
0.021938571928053,8.2965950713007e+20,3.277152615616e+21,8.1740415253383e+21,5.7090905317951e+21,3.724117965673e+21,1.0416636202802e+21,2015790073.5238,964.73275689171,1160.1290295513,925.0229444195,1015.3836451422
0.026327286313664,8.2967255228829e+20,3.2772041292721e+21,8.1741699717667e+21,5.7091802476461e+21,3.7241764914331e+21,1.0416799863102e+21,2015821784.1093,964.73274624695,1160.1290139378,925.02301348689,1015.383597361
0.031593743576396,8.2968638485799e+20,3.2772587526875e+21,8.1743061733488e+21,5.7092753811675e+21,3.7242385520504e+21,1.0416973399931e+21,2015855410.6748,964.73273343428,1160.1289949473,925.02309638471,1015.3835442619
0.037913492291676,8.297007653758e+20,3.2773155403643e+21,8.1744477729024e+21,5.7093742862135e+21,3.7243030738037e+21,1.0417153806131e+21,2015890371.7,964.73271800268,1160.1289717941,925.02319588326,1015.3834858318
0.045497190750011,8.2971542320124e+20,3.2773734237099e+21,8.1745921064075e+21,5.7094751023826e+21,3.7243688432536e+21,1.0417337683322e+21,2015926009.866,964.73269940309,1160.128943496,925.02331530738,1015.3834221871
0.054597628900013,8.2973005900593e+20,3.2774312208589e+21,8.1747362274753e+21,5.7095757720853e+21,3.7244345183455e+21,1.041752127255e+21,2015961598.0652,964.73267696511,1160.1289088266,925.02345864732,1015.383353571
0.065518154680015,8.2974435975136e+20,3.2774876958104e+21,8.1748770547922e+21,5.7096741435126e+21,3.7244986955592e+21,1.0417700641837e+21,2015996375.7572,964.73264986747,1160.1288662603,925.02363069157,1015.3832803322
0.078622785616018,8.2975801996688e+20,3.2775416424461e+21,8.1750115816027e+21,5.7097681169397e+21,3.7245600053353e+21,1.0417871952852e+21,2016029600.6397,964.73261709995,1160.1288139083,925.0238371863,1015.3832028835
0.094348342739222,8.2977076400653e+20,3.2775919724137e+21,8.1751370948351e+21,5.7098557977695e+21,3.7246172119015e+21,1.0418031739911e+21,2016060602.7107,964.7325774139,1160.1287494501,925.02408502653,1015.383121638
0.11321901128707,8.2978236505407e+20,3.2776377901714e+21,8.1752513622174e+21,5.7099356272227e+21,3.7246692985218e+21,1.0418177148154e+21,2016088830.4453,964.73252925709,1160.1286700583,925.02438248562,1015.3830369253
0.13586381354448,8.297926579384e+20,3.2776784435918e+21,8.1753527584536e+21,5.7100064704686e+21,3.7247155249873e+21,1.0418306094059e+21,2016113881.9491,964.73247068667,1160.1285723246,925.02473949054,1015.3829488902
0.16303757625338,8.2980154451665e+20,3.2777135452162e+21,8.1754403182255e+21,5.7100676536489e+21,3.7247554517698e+21,1.0418417332636e+21,2016135518.0677,964.73239925114,1160.1284521874,925.02516795229,1015.3828573756
0.19564609150405,8.2980899232663e+20,3.277742966931e+21,8.1755137229212e+21,5.7101189546114e+21,3.7247889339807e+21,1.0418510440108e+21,2016153659.1507,964.73231182744,1160.1283048752,925.02568216232,1015.3827617899
0.23477630980486,8.2979977433988e+20,3.2777066695247e+21,8.1754233252773e+21,5.710055927081e+21,3.7247478594084e+21,1.0418394760587e+21,2016131330.8518,964.73220439825,1160.1281143779,925.02629913316,1015.3826262359
0.28173257176583,8.2980946533917e+20,3.2777449692879e+21,8.1755188907505e+21,5.7101227276091e+21,3.7247914561086e+21,1.0418515837289e+21,2016154927.4577,964.73207217747,1160.1278799848,925.02703960385,1015.3824903667
0.338080086119,8.2981705937603e+20,3.2777749941499e+21,8.1755938381674e+21,5.7101751373939e+21,3.7248256694789e+21,1.0418610488683e+21,2016173423.1423,964.73192490345,1160.1275946561,925.02792826794,1015.3823530637
0.4056971033428,8.2982221806497e+20,3.2777954078559e+21,8.1756448347453e+21,5.71021082787e+21,3.7248489780504e+21,1.0418674397226e+21,2016185992.6417,964.7320746652,1160.1272511034,925.02899474574,1015.382220304
0.48683752401136,8.2982299601846e+20,3.2777985259891e+21,8.175652710977e+21,5.7102164070784e+21,3.7248526414548e+21,1.0418683052884e+21,2016187892.6709,964.73604419723,1160.1268380338,925.03027453743,1015.3822253939
0.58420602881363,8.2979902802635e+20,3.2777039043142e+21,8.1754168008905e+21,5.7100516865076e+21,3.7247451689205e+21,1.0418380308302e+21,2016129493.907,964.76707195012,1160.1262796875,925.03180978544,1015.3835128578
0.70104823457636,8.2962913129251e+20,3.2770328783625e+21,8.1737431565172e+21,5.7088825915841e+21,3.723982229545e+21,1.0416242289106e+21,2015715496.7516,964.9196319937,1160.1249164449,925.03364772337,1015.3921586588
0.84125888149163,8.2881597929175e+20,3.2738211302634e+21,8.1657324170232e+21,5.7032867071338e+21,3.7203303802656e+21,1.0406016064036e+21,2013734236.6117,965.43500832811,1160.1183794548,925.0358278836,1015.4292739327
1.00951165779,8.2588205901913e+20,3.2622330924532e+21,8.1368303685399e+21,5.6830979030654e+21,3.7071556861737e+21,1.0369128123069e+21,2006587334.8769,966.69787416348,1160.0846657063,925.0383334258,1015.5436503485
1.2114149893479,8.1727267727953e+20,3.228230283248e+21,8.0520280997106e+21,5.6238650540606e+21,3.6685059335524e+21,1.0260929069871e+21,1985628915.8892,969.06613168198,1159.9339744165,925.04094984307,1015.8053727267
1.4536989872175,7.978753676431e+20,3.1516214912883e+21,7.860969591381e+21,5.4904183536656e+21,3.5814368426249e+21,1.0017189962782e+21,1938429047.328,972.66876220043,1159.3925446625,925.04304386843,1016.2751981896
1.744439784661,7.6144434604698e+20,3.007739254971e+21,7.5021350889813e+21,5.2397926563028e+21,3.417925435737e+21,9.5594926322094e+20,1849826452.4262,977.39454623244,1157.8112743707,925.04325016705,1016.955327777
2.0933287415933,7.0597584794956e+20,2.7886619452611e+21,6.9557477078162e+21,4.8581674368424e+21,3.1689566925242e+21,8.8625688109679e+20,1714951188.7219,983.04535600092,1154.1098413487,925.03947643584,1017.8280007449
2.5119954899119,6.3062928685365e+20,2.4910669890529e+21,6.2135105565752e+21,4.3397475385955e+21,2.8307610490305e+21,7.9159413961062e+20,1531794470.8746,989.43393669979,1147.0419018144,925.02892784043,1018.8582133582
3.0143955878943,5.4015806353975e+20,2.1337258649984e+21,5.3222295056208e+21,3.7172245824576e+21,2.4246711997444e+21,6.7794204880143e+20,1311929255.7704,996.29865416074,1135.8826918288,925.00890013421,1020.0359406759
3.6172757054731,4.4247914658048e+20,1.7479074117796e+21,4.3598930448769e+21,3.0450744278202e+21,1.9862256765067e+21,5.5526050399846e+20,1074607243.5887,1003.10035791,1121.0282866154,924.97799385893,1021.309686999
4.3407318465678,3.4918696176281e+20,1.3794042252024e+21,3.4407224537579e+21,2.403080223774e+21,1.5674619484708e+21,4.3811845777379e+20,847991224.4,1008.9828956586,1104.1558814342,924.9377622893,1022.5339654137
5.2088792158813,2.724577842814e+20,1.0763120148295e+21,2.6846899571067e+21,1.8750385587459e+21,1.2230326146408e+21,3.4179918084015e+20,661641454.22083,1013.203934468,1087.8409295217,924.89359008797,1023.5041913282
6.2506560590576,2.1856090586985e+20,8.6340232633393e+20,2.1535959503536e+21,1.5041098098249e+21,9.8108680440906e+20,2.7415761949393e+20,530764381.46794,1015.7884372591,1074.4924408656,924.85310336583,1024.1069388234
7.5007882708691,1.8312417702532e+20,7.2341287667006e+20,1.8043958615375e+21,1.2602233375944e+21,8.2200762242796e+20,2.2969200993735e+20,444719737.51612,1017.6269544515,1065.012149735,924.82202155431,1024.4660458427
9.0009469250429,1.5365066053795e+20,6.0698213403899e+20,1.5139745440603e+21,1.0573882694776e+21,6.8970399131512e+20,1.9271473096853e+20,373146541.93443,1019.7405967663,1058.3048718449,924.80042696329,1024.8287011374
10.801137310051,1.2122568214659e+20,4.7889327918084e+20,1.194485967025e+21,8.3425005578481e+20,5.44155769109e+20,1.5203863759564e+20,294395739.76494,1022.4076111554,1052.5444590539,924.78401435877,1025.3250592925
12.961365772062,8.7930035569405e+19,3.4736333706595e+20,8.6641639674794e+20,6.0511858196304e+20,3.9469843980932e+20,1.1027392733681e+20,213530273.71321,1025.0494706439,1047.0122511942,924.76942151417,1025.8695618948
15.553639926474,6.109689762144e+19,2.4136085325837e+20,6.0201711104377e+20,4.2045719035866e+20,2.7424904575636e+20,7.6618787633368e+19,148365376.59629,1026.9594870822,1042.2878768323,924.75700591191,1026.2682581864
18.664368911769,4.4336960716396e+19,1.7515096692509e+20,4.3686977485363e+20,3.0511613554866e+20,1.990161005832e+20,5.5599545866271e+19,107667018.51251,1027.9650703591,1039.0090134605,924.74858680976,1026.4237363493
22.397243694123,3.6174315547749e+19,1.4290423385732e+20,3.56435834059e+20,2.4894044709478e+20,1.623749806395e+20,4.5363057029215e+19,87847148.832111,1028.3396434593,1037.1779845722,924.74468870373,1026.4071410067
26.876693432947,3.3380572291753e+19,1.3186734709263e+20,3.2890570729892e+20,2.2971345187008e+20,1.4983416043546e+20,4.1859730143484e+19,81064519.956421,1028.405843599,1036.3967180645,924.74438696716,1026.3425178125
32.252033119537,3.3236947158622e+19,1.3129973628087e+20,3.2748909656394e+20,2.2872413903367e+20,1.4918890394165e+20,4.1679534555141e+19,80716137.264643,1028.3786845997,1036.2308485424,924.74640799773,1026.312217581
38.702440743444,3.2822464440304e+19,1.2966249730948e+20,3.2340589105435e+20,2.2587273700912e+20,1.4732926449936e+20,4.1160154264202e+19,79710592.056097,1028.3779820122,1036.1247628607,924.74922767055,1026.2836932095
46.442929892133,3.3028693726898e+19,1.3047717234682e+20,3.2543779119722e+20,2.2729190006032e+20,1.4825496492642e+20,4.1418790863808e+19,80211565.703691,1028.355261428,1036.1340763131,924.75297335749,1026.2737556157
55.73151687056,3.3056922478887e+19,1.305887180072e+20,3.257161034642e+20,2.2748634008713e+20,1.4838182743297e+20,4.1454237734169e+19,80280254.564214,1028.3502843976,1036.13563619,924.75744336425,1026.2693762789
66.877821244672,3.3054786195784e+19,1.3058029652105e+20,3.256951496931e+20,2.2747174719808e+20,1.4837233123258e+20,4.1451574192472e+19,80275144.259831,1028.348002636,1036.132790389,924.76278469541,1026.2667345086
80.253386493606,3.3064743153097e+19,1.3061964427885e+20,3.2579332888605e+20,2.2754035231592e+20,1.4841709744098e+20,4.1464061503523e+19,80299378.237663,1028.3451528282,1036.1320398787,924.76919840506,1026.2645724991
96.304064792327,3.3069684217116e+19,1.3063917697557e+20,3.258420841927e+20,2.2757443630656e+20,1.4843934409641e+20,4.1470248269538e+19,80311414.244369,1028.3432805193,1036.1312296737,924.77689275207,1026.2630045156
100,3.3067399384647e+19,1.3063015674404e+20,3.2581960277316e+20,2.2755874902885e+20,1.484291193813e+20,4.1467388306996e+19,80305891.85672,1028.3423637616,1036.1301755787,924.77866311064,1026.2621228035
